Data path: /scratch/opt/lxu/CFLG/benchmarks/random_B
Instance: r_25_0.4_112.txt
Result path: /scratch/opt/lxu/CFLG/results/random_B
Solver: Gurobi
Time limit: 3600
Formulation: EF
Cover: Large
julia --project=. src/main.jl /scratch/opt/lxu/CFLG/benchmarks/random_B r_25_0.4_112.txt /scratch/opt/lxu/CFLG/results/random_B Gurobi 3600 EF Large
/scratch/opt/lxu/CFLG/benchmarks/random_B Gurobi 3600.0 /scratch/opt/lxu/CFLG/results/random_B r_25_0.4_112.txt EF Large
/scratch/opt/lxu/CFLG/benchmarks/random_B/r_25_0.4_112.txt

 read graph
data loaded

problem_graph/original graph: node: 25/25 edge: 112/112 dlt: 1.2844245833368715 break_avg_len: 0.6422122916684357 break_max_len: 0.9982318395224349elapsed CPU time: 0.019455 seconds
Set parameter TokenServer to value "solice01.zib.de"
Set parameter Threads to value 1
Set parameter OutputFlag to value 1
Set parameter MIPGap to value 0.0001
Set parameter MIPGapAbs to value 1
Set parameter TimeLimit to value 3599.980545

 model loaded

Gurobi Optimizer version 12.0.1 build v12.0.1rc0 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 8 physical cores, 16 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  3599.980545
MIPGapAbs  1
Threads  1

Optimize a model with 4199664 rows, 1409408 columns and 11192384 nonzeros
Presolve removed 250867 rows and 20671 columns (presolve time = 380s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 385s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 390s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 395s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 400s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 405s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 410s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 415s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 420s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 425s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 430s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 435s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 440s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 445s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 450s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 455s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 460s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 465s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 470s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 475s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 480s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 485s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 490s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 495s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 500s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 505s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 510s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 515s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 520s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 525s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 530s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 535s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 540s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 545s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 550s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 555s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 560s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 565s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 570s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 575s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 580s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 585s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 590s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 595s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 600s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 605s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 610s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 615s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 620s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 625s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 630s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 635s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 640s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 645s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 650s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 655s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 660s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 665s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 670s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 675s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 680s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 685s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 690s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 695s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 700s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 705s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 710s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 715s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 720s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 725s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 730s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 735s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 740s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 745s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 750s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 755s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 760s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 765s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 770s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 775s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 780s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 785s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 790s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 795s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 800s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 805s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 810s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 815s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 820s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 825s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 830s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 835s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 840s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 845s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 850s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 855s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 860s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 865s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 870s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 875s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 880s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 885s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 890s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 895s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 900s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 905s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 910s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 915s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 920s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 925s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 930s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 935s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 940s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 945s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 950s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 955s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 960s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 965s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 970s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 975s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 980s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 985s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 990s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 995s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1000s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1005s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1010s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1015s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1020s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1025s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1030s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1035s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1040s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1045s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1050s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1055s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1060s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1065s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1070s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1075s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1080s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1085s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1090s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1095s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1100s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1105s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1110s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1115s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1120s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1125s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1130s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1135s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1140s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1145s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1150s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1155s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1160s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1165s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1170s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1175s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1180s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1185s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1190s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1195s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1200s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1205s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1210s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1215s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1220s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1225s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1230s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1235s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1240s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1245s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1250s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1255s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1260s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1265s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1270s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1275s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1280s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1285s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1290s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1295s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1300s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1305s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1310s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1315s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1320s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1325s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1330s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1335s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1340s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1345s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1350s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1355s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1360s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1365s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1370s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1375s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1380s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1385s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1390s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1395s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1400s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1405s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1410s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1415s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1420s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1425s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1430s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1435s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1440s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1445s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1450s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1455s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1460s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1465s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1470s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1475s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1480s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1485s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1490s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1495s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1500s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1505s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1510s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1515s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1520s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1525s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1530s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1535s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1540s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1545s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1550s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1555s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1560s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1565s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1570s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1575s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1580s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1585s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1590s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1595s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1600s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1605s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1610s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1615s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1620s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1625s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1630s)...
Presolve removed 250867 rows and 20671 columns (presolve time = 1635s)...
Presolve removed 411444 rows and 54225 columns (presolve time = 1640s)...
Presolve removed 413305 rows and 55154 columns (presolve time = 1646s)...
Presolve removed 413305 rows and 55154 columns (presolve time = 1650s)...
Presolve removed 413305 rows and 55947 columns (presolve time = 1655s)...
Presolve removed 430153 rows and 60816 columns (presolve time = 1661s)...
Presolve removed 430153 rows and 60816 columns (presolve time = 1665s)...
Presolve removed 430153 rows and 60816 columns
Presolve time: 1667.14s
Presolved: 3769511 rows, 1348592 columns, 9960532 nonzeros
Variable types: 2320 continuous, 1346272 integer (1346272 binary)
Found heuristic solution: objective 112.0000000
Found heuristic solution: objective 111.0000000
Root relaxation presolved: 1348592 rows, 5118101 columns, 11309118 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0      handle free variables                       1711s
    8080    1.4988543e+16   8.865885e+31   0.000000e+00   1715s
   10015    8.1417681e+00   1.207935e+05   0.000000e+00   1722s
   10765    4.4185746e+00   8.053785e+04   0.000000e+00   1726s
   12688    3.2206206e+00   1.986229e+05   0.000000e+00   1731s
   15388    3.1742196e+00   8.346697e+04   0.000000e+00   1736s
   17353    3.0620623e+00   1.149851e+05   0.000000e+00   1742s
   17663    3.0577847e+00   1.938291e+05   0.000000e+00   1746s
   18413    3.0489657e+00   3.531382e+05   0.000000e+00   1751s
   18603    3.0489523e+00   3.531922e+05   0.000000e+00   1756s
   18813    3.0489376e+00   3.532242e+05   0.000000e+00   1760s
   18973    3.0489211e+00   3.532752e+05   0.000000e+00   1765s
   19333    3.0250300e+00   1.922236e+05   0.000000e+00   1775s
   19473    3.0250217e+00   3.747778e+05   0.000000e+00   1780s
   19613    3.0250128e+00   3.747796e+05   0.000000e+00   1785s
   19733    3.0204041e+00   2.828143e+05   0.000000e+00   1791s
   19873    3.0197217e+00   7.844251e+04   0.000000e+00   1796s
   23320    2.8514298e+00   1.597621e+04   0.000000e+00   1801s
   25447    2.4715768e+00   2.687636e+04   0.000000e+00   1805s
   29549    2.3763183e+00   1.645664e+04   0.000000e+00   1812s
   32719    2.3283652e+00   1.247555e+04   0.000000e+00   1816s
   34281    2.1398927e+00   2.225958e+04   0.000000e+00   1822s
   34671    2.1208133e+00   2.642633e+04   0.000000e+00   1827s
   34791    2.1149513e+00   2.755302e+04   0.000000e+00   1834s
   34961    2.0700495e+00   2.068686e+04   0.000000e+00   1841s
   35091    2.0683427e+00   2.605187e+04   0.000000e+00   1848s
   35241    2.0683410e+00   2.634587e+04   0.000000e+00   1856s
   35381    2.0683353e+00   2.628787e+04   0.000000e+00   1863s
   35511    2.0666222e+00   2.553371e+04   0.000000e+00   1871s
   35671    2.0649072e+00   2.459017e+04   0.000000e+00   1878s
   35801    2.0631952e+00   2.618241e+04   0.000000e+00   1886s
   35921    2.0631884e+00   2.542112e+04   0.000000e+00   1893s
   36041    2.0631829e+00   2.566512e+04   0.000000e+00   1900s
   36161    2.0614757e+00   2.616686e+04   0.000000e+00   1908s
   36281    2.0614661e+00   2.614262e+04   0.000000e+00   1915s
   36391    2.0597629e+00   2.615808e+04   0.000000e+00   1922s
   36511    2.0597523e+00   2.614741e+04   0.000000e+00   1929s
   36631    2.0597470e+00   2.528894e+04   0.000000e+00   1937s
   36751    2.0597245e+00   1.774320e+04   0.000000e+00   1944s
   36861    2.0580364e+00   2.623570e+04   0.000000e+00   1951s
   36981    2.0580300e+00   2.624856e+04   0.000000e+00   1958s
   37111    2.0580059e+00   1.776016e+04   0.000000e+00   1965s
   37231    2.0563176e+00   2.533748e+04   0.000000e+00   1973s
   37361    2.0563109e+00   2.628632e+04   0.000000e+00   1981s
   37481    2.0546043e+00   2.474570e+04   0.000000e+00   1988s
   37611    2.0545964e+00   2.646353e+04   0.000000e+00   1996s
   37731    2.0545923e+00   2.415048e+04   0.000000e+00   2003s
   37851    2.0545625e+00   1.789524e+04   0.000000e+00   2010s
   37971    2.0528782e+00   2.657003e+04   0.000000e+00   2017s
   38121    2.0528723e+00   2.599668e+04   0.000000e+00   2024s
   38251    2.0528267e+00   2.494342e+04   0.000000e+00   2031s
   38371    2.0511546e+00   2.538651e+04   0.000000e+00   2038s
